cap_shape,cap_color,bruises,odor,gill_spacing,gill_color,stalk_shape,habitat,age_in_days,class
sunken,yellow,no,foul,crowded,brown,tapering,paths,15,poisonous
conical,white,yes,almond,crowded,chocolate,tapering,meadows,11,poisonous
conical,brown,no,fishy,close,chocolate,enlarging,meadows,8,edible
knobbed,white,no,pungent,close,gray,enlarging,paths,8,poisonous
bell,yellow,no,none,distant,buff,tapering,urban,14,edible
bell,gray,yes,almond,distant,black,enlarging,paths,10,poisonous
conical,brown,no,pungent,crowded,brown,tapering,urban,3,edible
sunken,yellow,no,none,distant,brown,enlarging,woods,15,edible
flat,red,yes,none,crowded,black,tapering,grasses,14,poisonous
sunken,yellow,yes,fishy,distant,brown,tapering,grasses,14,poisonous
knobbed,yellow,no,none,close,buff,enlarging,meadows,8,poisonous
flat,gray,yes,foul,distant,gray,tapering,meadows,7,edible
flat,gray,yes,none,distant,black,tapering,urban,14,poisonous
flat,white,yes,foul,crowded,buff,tapering,woods,4,poisonous
knobbed,red,no,none,crowded,gray,enlarging,meadows,14,poisonous
conical,yellow,yes,foul,close,gray,enlarging,meadows,13,edible
sunken,brown,yes,foul,close,black,tapering,urban,13,edible
bell,yellow,no,fishy,crowded,black,enlarging,grasses,5,edible
knobbed,yellow,no,fishy,close,gray,tapering,meadows,4,edible
sunken,yellow,no,foul,distant,gray,enlarging,meadows,13,edible
bell,brown,no,pungent,crowded,buff,enlarging,meadows,9,poisonous
knobbed,gray,no,none,crowded,chocolate,enlarging,grasses,11,edible
knobbed,white,yes,none,close,gray,enlarging,meadows,15,poisonous
flat,gray,yes,pungent,close,black,enlarging,paths,14,poisonous
knobbed,gray,yes,pungent,crowded,black,enlarging,grasses,4,edible
flat,gray,yes,pungent,distant,brown,tapering,grasses,6,poisonous
sunken,brown,yes,foul,crowded,buff,tapering,grasses,5,poisonous
sunken,red,yes,none,distant,black,tapering,grasses,7,poisonous
bell,white,yes,almond,close,brown,enlarging,urban,15,poisonous
bell,gray,yes,almond,distant,chocolate,enlarging,urban,4,edible
knobbed,white,yes,none,close,buff,enlarging,meadows,2,edible
bell,white,yes,almond,close,black,enlarging,woods,9,edible
knobbed,brown,yes,foul,close,buff,tapering,paths,10,edible
sunken,red,yes,pungent,close,black,enlarging,grasses,14,edible
conical,white,no,fishy,distant,brown,tapering,meadows,12,edible
flat,gray,yes,none,distant,buff,enlarging,meadows,10,edible
sunken,yellow,yes,none,close,buff,tapering,urban,9,edible
bell,white,yes,pungent,crowded,chocolate,tapering,woods,13,poisonous
knobbed,gray,no,fishy,distant,black,enlarging,meadows,15,edible
conical,brown,yes,foul,close,black,enlarging,meadows,4,edible
sunken,brown,no,pungent,distant,chocolate,tapering,paths,12,poisonous
flat,gray,yes,pungent,close,gray,enlarging,urban,15,edible
bell,gray,no,foul,close,chocolate,tapering,meadows,2,poisonous
conical,red,no,none,close,gray,tapering,urban,12,edible
sunken,yellow,yes,pungent,close,gray,tapering,meadows,3,edible
bell,brown,no,fishy,distant,black,enlarging,paths,6,poisonous
flat,white,yes,fishy,distant,brown,tapering,meadows,2,edible
knobbed,yellow,no,pungent,close,gray,enlarging,woods,10,edible
bell,yellow,no,almond,crowded,brown,tapering,paths,11,poisonous
sunken,red,yes,almond,close,chocolate,tapering,woods,9,edible
